Word;Arousal 1-9;Source (W= Warriner, N=Nasa TLX, E=Elovainio, B=Brainstormed, Karasek=K, P=Profanities, L=LIWC, S=Synonyms);Suomi Google Translate;MM;
fatal;8,5;W;kohtalokas;fatal;
asap;8;S;mahdollisimman pian;asap;
blocker;8;S;esto;blocker;
extremely;8;S;erittäin;erittäin;
amazing;8;S;hämmästyttävä;mahtava;
excited;8;W;innoissaan;innoissa;
exciting;8;W;jännittävä;jännittä;
excellent;7,5;S;erinomainen;erinomainen;
fantastic;7,5;W;fantastinen;fantastinen;
attacks;7,5;S;iskut;hyökkäys;
attacker;7,5;W;hyökkääjä;hyökkääjä;
emergency;7,5;W;hätä;hätä;
insanity;7,5;W;järjettömyys;järjettömyys;
horrible;7,5;S;kamala;kamala;
horribly;7,5;S;kauhistuttavan;kauhea;
denial;7,5;S;kieltäminen;esto;
urgent;7,5;W;kiireellinen;kiire;
urgently;7,5;S;kiireellisesti;pian;
critical;7,5;S;kriittinen;kriitti;
brilliant;7,5;S;loistava;loistava;
appealing;7,5;S;miellyttävä;miellyt;
nightmare;7,5;S;painajainen;painajai;
shit;7,5;P;paska;paska;
severe;7,5;S;vaikea;severe;
blows;7,5;S;puhaltaa;surkea;
severely;7,5;S;vakavasti;vakava;
deadline;7;B;takaraja;deadline;
grave;7;S;hauta;hauta;
nervous;7;E;hermostunut;hermostu;
attractive;7;S;viehättävä;upea;
terribly;7;S;hirveästi;hirveästi;
attack;7;W;hyökkäys;hyök;
wonderful;7;S;ihana;ihana;
struggling;7;S;kamppailee;kamppail;
terrible;7;S;kauhea;kauhe;
hurry;7;S;kiire;äkkiä;
rush;7;W;kiire;nopeasti;
ambitious;7;S;kunnianhimoinen;kunnianhimoinen;
exploit;7;S;käyttää hyväkseen;käyttää hyväkseen;
impossible;7;S;mahdoton;mahdoton;
awesome;7;W;mahtava;mahtava;
amount;7;S;määrä;määrä;
deadlines;7;S;määräajat;määräai;
scared;7;S;pelästynyt;pelästynyt;
;;;;pelkää;
;;;;pelätä;
;;;;peloissaan;
love;7;S;rakkaus;hieno;
stress;7;E;stressi;stress;
struggle;7;S;taistelu;taistelu;
killer;7;W;tappaja;tappaja;
destructive;7;W;tuhoisa;tuhoisa;
incredibly;7;S;uskomattoman;uskomatt;
dangerous;7;W;vaarallinen;vaarall;
difficult;7;S;vaikea;vaikea;
difficulty;7;S;vaikeus;vaikeus;
huge;7;S;valtava;valtava;
wow;7;S;Vau;Vau;
hate;7;W;vihata;viha;
argue;7;W;väitellä;väitellä;
;;;;väittää;
xss;7;S;XSS;XSS;
irritating;7;S;ärsyttävä;ärsytt;
vulnerability;6,5;S;alttius;alttius;
impractical;6,5;S;epäkäytännöllinen;epäkäytännölli;
disagreement;6,5;S;erimielisyys;erimielisyys;
vulnerable;6,5;S;haavoittuva;haavoittuva;
malicious;6,5;S;ilkeä;haital;
complex;6,5;N;monimutkainen;hankala;
hell;6,5;P;helvetti;helvetti;
idiot;6,5;S;idiootti;idiootti;
drastic;6,5;S;jyrkkä;jyrkkä;
interested;6,5;S;kiinnostunut;kiinnostunut;
nuisance;6,5;S;kiusa;kiusa;
unacceptable;6,5;S;mahdoton hyväksyä;mahdoton;
anytime;6,5;L;milloin tahansa;milloin;
complicated;6,5;W;monimutkainen;monimutkainen;
nailed;6,5;S;naulattu;naulattu;
quicker;6,5;S;nopeampi;nopeampi;
spew;6,5;S;oksentaa;oksentaa;
disagree;6,5;S;olla eri mieltä;olla eri mieltä;
troubles;6,5;S;ongelmia;ongelm;
heck;6,5;S;pahus;pahus;
panic;6,5;L;paniikki;paniikki;
scary;6,5;S;pelottava;pelottava;
shortly;6,5;S;pian;pian;
soon;6,5;B;pian;äkkiä;
drastically;6,5;S;rajusti;raju;
achievable;6,5;S;saavutettavissa;saavutettavissa;
showstopper;6,5;S;showstopper;showstopper;
upset;6,5;S;poissa tolaltaan;tolaltaan;
frustrated;6,5;S;turhautunut;turhaut;
frustrating;6,5;S;turhauttava;turhauttava;
perfect;6,5;L;täydellinen;täydellinen;
utterly;6,5;S;täysin;täysi;
complicating;6,5;S;vaikeuttaa;vaikeuttaa;
impressive;6,5;S;vaikuttava;vaikuttava;
trouble;6,5;W;vaivata;vaiva;
enormous;6,5;S;valtava;valtava;
tremendous;6,5;S;valtava;iso;
certainly;6,5;S;varmasti;varmasti;
strongly;6,5;S;voimakkaasti;voimak;
argued;6,5;S;väitti;väitti;
clash;6,5;S;yhteentörmäys;yhteentörmäys;
meanwhile;6;L;sillä välin;aikaa;
accomplished;6;S;aikaan;aikaan;
appreciate;6;S;arvostaa;arvostaa;
dramatic;6;S;dramaattinen;dramaatti;
dramatically;6;S;dramaattisesti;dramaattisesti;
anticipate;6;S;ennakoida;ennakoida;
doubt;6;S;epäillä;epäil;
very;6;S;erittäin;erittäin;
hack;6;S;hakata;hack;
tricky;6;S;hankala;hankala;
easiest;6;S;helpoin;helpoin;
worries;6;S;huolet;huole;
concerned;6;S;huolestunut;huolestunut;
worried;6;W;huolestunut;huolestunut;
worry;6;W;huoli;huoli;
bad;6;S;huono;huono;
nasty;6;W;ilkeä;ilkeä;
evening;6;S;ilta;ilta;
imo;6;S;imo;imo;
thrilled;6;S;innoissaan;inno;
disturbing;6;S;järkyttävä;järkyttäv;
costly;6;S;kallis;kallis;
fixable;6;S;kiinnitettävä;kiinnitettävä;
concern;6;S;koskea;koskea;
tough;6;S;kova;kova;
demand;6;S;kysyntä;kysyntä;
promising;6;S;lupaava;lupaava;
kudos;6;S;maine;maine;
complicates;6;S;monimutkaistaa;monimutkaistaa;
adapted;6;S;muokattu;muokattu;
busted;6;S;murrettu;murrettu;
altered;6;S;muuttunut;muuttunut;
admit;6;S;myöntää;myöntää;
remove;6;S;poistaa;poist;
conflicting;6;K;ristiriitainen;ristiriitainen;
ugly;6;S;ruma;ruma;
achieved;6;S;saavutettu;saavutettu;
allowed;6;S;sallittu;sallittu;
messy;6;S;sotkuinen;sotku;
guilty;6;S;syyllinen;syyllinen;
blame;6;S;syyttää;syyttää;
unnecessarily;6;S;turhaan;turhaan;
painful;6;W;tuskallinen;tuskall;
tonight;6;S;tänä yönä;tänä;
today;6;B;tänään;tänään;
unsafe;6;S;vaarallinen;vaarallinen;
compromise;6;S;vaarantaa;vaarantaa;
difficulties;6;S;vaikeudet;vaikeu;
impressed;6;S;vaikuttunut;vaikuttunut;
workaround;6;S;workaround;workaround;
meantime;6;L;sillä välin;välin;
abuse;6;S;väärinkäyttö;väärinkäyttö;
extra;6;S;ylimääräinen;ylimääräinen;
morning;5,5;S;aamu;aamu;
cryptic;5,5;S;arvoituksellinen;arvoituksellinen;
helped;5,5;S;auttoi;autt;
unchecked;5,5;S;esteettä;esteettä;
drawback;5,5;S;haitta;hait;
adversely;5,5;S;haitallisesti;haitallisesti;
disadvantage;5,5;S;haitta;haitta;
controllable;5,5;S;hallittavissa oleva;hallittava;
willing;5,5;S;halukas;halukas;
fragile;5,5;S;hauras;hauras;
drawbacks;5,5;S;haitat;heikko;
helpfull;5,5;S;hyödyllinen;hyödyllinen;
disturb;5,5;L;häiritä;häiritä;
imho;5,5;S;IMHO;IMHO;
allowing;5,5;S;jolloin;jolloin;
hangs;5,5;S;jumittuu;jumittuu;
pain;5,5;W;kipu;kipu;
embarrassing;5,5;S;kiusallinen;kiusalli;
harder;5,5;S;kovemmin;kova;
loudly;5,5;S;kovaäänisesti;kovaäänisesti;
practical;5,5;S;käytännöllinen;käytännöllinen;
permit;5,5;S;lupa;lupa;
permits;5,5;S;luvat;luvat;
substantial;5,5;S;merkittävä;merkittävä;
meaningful;5,5;S;mielekäs;mielekäs;
wondering;5,5;S;Mietitkö;Mietitkö;
minutes;5,5;S;minuutit;minuut;
modular;5,5;S;modulaarinen;modulaarinen;
remember;5,5;S;muistaa;muistaa;
suboptimal;5,5;S;optimaalinen;optimaali;
pressure;5,5;NE;paine;paine;
pita;5,5;S;pita;pita;
flaws;5,5;S;puutteita;puutt;
stay;5,5;S;pysyä;pysy;
day;5,5;S;päivä;päivä;
days;5,5;S;päivää;päivää;
headache;5,5;S;päänsärky;päänsärky;
headaches;5,5;S;päänsärkyä;päänsärkyä;
solvable;5,5;S;ratkaistavissa oleva;ratkaistava;
hanging;5,5;S;riippuva;riippuu;
hang;5,5;S;ripustaa;ripustaa;
risky;5,5;S;riskialtis;riskialt;
reacting;5,5;S;saattamalla;saattamalla;
allow;5,5;S;sallia;sallia;
allows;5,5;S;sallii;sallii;
until;5,5;L;siihen asti kun;siihen asti kun;
straightforward;5,5;S;suora;suor;
greatly;5,5;S;suuresti;suuresti;
unnecessary;5,5;S;tarpeeton;tarpeeton;
unneeded;5,5;S;tarpeettomat;tarpeettomat;
temp;5,5;S;temp;temp;
ignorant;5,5;S;oppimaton;tietämät;
situation;5,5;S;tilanne;tilan;
situations;5,5;S;tilanteita;tilanteita;
temporary;5,5;L;tilapäinen;tilapäinen;
doable;5,5;S;toteutettavissa;toteutettavissa;
wasteful;5,5;S;tuhlaileva;tuhla;
confess;5,5;S;tunnustaa;tunnustaa;
hours;5,5;S;tuntia;tuntia;
stupid;5,5;S;tyhmä;tyhmä;
perfectly;5,5;S;täydellisesti;täydellisesti;
volunteer;5,5;S;vapaaehtoinen;vapaaehtoinen;
warned;5,5;S;varoitti;varoitti;
week;5,5;S;viikko;viikko;
flaw;5,5;S;virhe;virhe;
overhead;5,5;S;yläpuolella;yläpuolella;
overwhelmed;5,5;S;ällikällä lyöty;ällikällä lyöty;
infinitely;5,5;S;äärettömän;äärettöm;
gonna;5;S;aio;aio;
downside;5;S;alapuoli;alapuoli;
forgive;5;S;antaa anteeksi;antaa anteeksi;
till;5;L;asti;asti;
contribute;5;S;edistävät;edistävät;
august;5;L;elokuu;elokuu;
eod;5;S;EOD;EOD;
uncomfortable;5;S;epämiellyttävä;epämiellytt;
unusual;5;S;epätavallinen;epätavall;
oversight;5;S;erehdys;erehd;
brittle;5;S;hauras;hauras;
july;5;L;heinäkuu;heinäkuu;
february;5;L;helmikuu;helmikuu;
april;5;L;huhtikuu;huhtikuu;
wasted;5;S;hukkaan;hukkaan;
tomorrow;5;B;huomenna;huomenna;
useless;5;S;hyödytön;hyödytön;
hassle;5;S;hässäkkä;hässäkkä;
glad;5;S;iloinen;iloinen;
afternoon;5;S;iltapäivällä;iltapäivällä;
conclusion;5;L;johtopäätös;johtopäätös;
someone;5;S;joku;joku;
december;5;L;joulukuu;joulukuu;
stuck;5;S;juuttunut;jumi;
sensible;5;S;järkevä;järkevä;
once;5;L;kerran;kerran;
wednesday;5;S;keskiviikko;keskiviikko;
june;5;L;kesäkuu;kesäkuu;
grateful;5;S;kiitollinen;kiito;
seeing;5;S;koska;koska;
decent;5;S;kunnollinen;kunnollinen;
months;5;S;kuukaudet;kuukaudet;
handed;5;S;kädellä;kädellä;
unused;5;S;käyttämätön;käyttämät;
clumsy;5;S;kömpelö;kömpelö;
omission;5;S;laiminlyönti;laiminlyönti;
neglected;5;S;laiminlyöty;laiminlyöty;
saturday;5;S;lauantai;lauantai;
great;5;S;loistava;loistava;
october;5;L;lokakuu;lokakuu;
loose;5;S;löysä;löysä;
march;5;L;maaliskuu;maaliskuu;
monday;5;S;maanantai;maanantai;
feasible;5;S;mahdollinen;mahdoll;
november;5;L;marraskuu;marraskuu;
almost;5;S;melkein;melkein;
fancy;5;S;mieltymys;mieltymys;
defaults;5;S;oletukset;oletukset;
agree;5;S;olla samaa mieltä;olla samaa mieltä;
happy;5;S;onnellinen;onnell;
couple;5;S;pari;pari;
fear;5;L;pelko;pelk;
friday;5;L;perjantai;perjantai;
small;5;S;pieni;pieni;
removes;5;S;Poistaa;poistaa;
removed;5;S;poistettu;poistett;
heavy;5;S;raskas;raskas;
adapt;5;S;sopeuttaa;sopeuttaa;
sunday;5;S;sunnuntai;sunnuntai;
september;5;L;syyskuu;syyskuu;
tone;5;S;sävy;sävy;
january;5;L;tammikuu;tammikuu;
unecessary;5;S;tarpeettomat;tarpeettom;
know;5;S;tietää;tietää;
tuesday;5;S;tiistai;tiistai;
indefinitely;5;S;toistaiseksi;toistaiseksi;
hoping;5;S;toivoen;toivo;
thursday;5;S;torstai;torstai;
coming;5;S;tuleva;tuleva;
satisfactory;5;S;tyydyttävä;tyydyttävä;
satisfy;5;S;tyydyttää;tyydyttää;
elegant;5;S;tyylikäs;tyylikäs;
satisfies;5;S;täyttää;täyttää;
require;5;S;vaatia;vaatia;
serious;5;S;vakava;vakava;
satisfied;5;S;vakuuttunut;vakuuttunut;
cool;5;S;viileä;viileä;
understandable;5;S;ymmärrettävä;ymmärrett;
understand;5;S;ymmärtää;ymmärt;
night;5;S;yö-;yö-;
annoying;5;W;ärsyttävä;ärsyttävä;
forgiving;4,5;S;anteeksiantava;anteeksiantava;
guess;4,5;S;arvaus;arvaus;
unpleasant;4,5;S;epämiellyttävä;epämiellyttävä;
inadequate;4,5;L;epäpätevä;epäpätevä;
hesitant;4,5;L;epäröivä;epäröivä;
unclear;4,5;S;epäselvä;epäselvä;
fyi;4,5;S;fYI;fYI;
harmless;4,5;S;harmiton;harmiton;
awful;4,5;S;hirveä;hirve;
misbehaving;4,5;S;Huonosti toimivien;Huonosti toimivien;
acceptable;4,5;S;hyväksyttävä;hyväksyttäv;
confusing;4,5;S;hämmentävä;hämmentävä;
obscure;4,5;S;hämärä;hämärä;
ideal;4,5;S;ihanteellinen;ihanteellinen;
forever;4,5;L;ikuisesti;ikuisesti;
tedious;4,5;S;ikävä;ikävä;
notified;4,5;S;ilmoitetun;ilmoitetun;
inform;4,5;S;ilmoittaa;ilmoittaa;
informed;4,5;S;ilmoitti;ilmoitti;
intuitive;4,5;S;intuitiivinen;intuitiivinen;
expensive;4,5;W;kallis;kallis;
awfully;4,5;S;kauhean;kauhean;
polite;4,5;S;kohtelias;kohtelias;
reasonable;4,5;S;kohtuullinen;kohtuullinen;
reasonably;4,5;S;kohtuullisen;kohtuullisen;
imagine;4,5;S;kuvitella;kuvitella;
questioning;4,5;S;kysyvä;kysyvä;
additional;4,5;S;lisä-;lisä;
eventually;4,5;S;lopulta;lopulta;
possible;4,5;S;mahdollinen;mahdollinen;
might;4,5;S;mahti;mahti;
makes;4,5;S;merkit;merkit;
minimal;4,5;S;minimaalinen;minimaalinen;
measurable;4,5;S;mitattava;mitattava;
late;4,5;W;myöhään;myöhään;
novice;4,5;S;noviisi;noviisi;
pretty;4,5;S;nätti;nätti;
seemed;4,5;S;näytti;näytti;
seem;4,5;S;näyttää;näyttää;
seems;4,5;S;näyttää;näyttää;
unhappy;4,5;S;onneton;onneton;
recall;4,5;S;palauttaa mieleen;palauttaa mieleen;
afraid;4,5;S;peloissaan;peloiss;
solution;4,5;L;ratkaisu;ratkaisu;
adequate;4,5;S;riittävä;riittävä;
sufficient;4,5;S;riittävä;riittävä;
inappropriate;4,5;S;sopimaton;sopimat;
agreement;4,5;S;sopimus;sopimus;
grief;4,5;S;suru;suru;
adjusted;4,5;S;oikaistu;säät;
superfluous;4,5;S;tarpeeton;tarpeeton;
technically;4,5;S;teknisesti;teknisesti;
informs;4,5;S;tiedottaa;tiedottaa;
informing;4,5;S;tiedottaminen;tiedottaminen;
desirable;4,5;S;toivottava;toivottava;
sense;4,5;S;tunne;tunne;
productive;4,5;L;tuottava;tuottava;
satisfying;4,5;S;tyydyttävä;tyydyttävä;
fulfilled;4,5;S;täyttyvät;täytty;
fulfill;4,5;S;täyttää;täyttää;
often;4,5;S;usein;usein;
though;4,5;S;vaikka;vaikka;
annoyed;4,5;S;vihainen;vihainen;
weekend;4,5;S;viikonloppu;viikonloppu;
mistaken;4,5;S;virheellinen;virheellinen;
avoid;4,5;S;välttää;välttää;
simple;4,5;W;yksinkertainen;yksinkertainen;
sounds;4,5;S;äänet;äänet;
downgraded;4;S;alennettu;alennettu;
perhaps;4;S;ehkä;ehkä;
predictable;4;S;ennustettavissa;ennustettavissa;
uncertain;4;L;epävarma;epävarma;
unsure;4;L;epävarma;epävarma;
cumbersome;4;S;hankala;hankala;
poor;4;S;huono;huono;
good;4;S;hyvä;hyvä;
spent;4;S;käytetty;käytetty;
mitigated;4;S;lieventää;lieventää;
assume;4;S;olettaa;olettaa;
suppose;4;S;olettaa;olettaa;
pondering;4;S;pohtiminen;pohtiminen;
lacking;4;S;puuttuva;puuttuva;
thereafter;4;S;sen jälkeen;sen jälkeen;
tolerate;4;S;sietää;sietää;
burden;4;E;taakka;taakka;
redundant;4;S;tarpeeton;tarpeeton;
probably;4;S;todennäköisesti;todennäköisesti;
trivial;4;S;triviaali;triviaali;
trivially;4;S;triviaalisesti;triviaalisesti;
typical;4;S;tyypillinen;tyypillinen;
typically;4;S;tyypillisesti;tyypillisesti;
weeks;4;S;viikkoa;viikkoa;
consensus;4;S;yhteisymmärrys;yhteisymmärrys;
yesterday;3,5;S;eilen;eilen;
inconvenient;3,5;S;epämukava;epämukava;
inconvenience;3,5;S;hankaluus;hankaluus;
confused;3,5;S;hämmentynyt;hämmentynyt;
sometime;3,5;L;jonkin aikaa;jonkin aikaa;
meaningless;3,5;S;merkityksetön;merkityksetön;
whenever;3,5;L;milloin tahansa;milloin tahansa;
amended;3,5;S;muutettiin;muutettiin;
ago;3,5;L;sitten;sitten;
skeptical;3,5;S;skeptinen;skeptinen;
enough;3,5;S;tarpeeksi;tarpeeksi;
usual;3,5;S;tavallinen;tavallinen;
ll;3,5;S;ll;tuleva;
exhausted;3,5;E;uupunut;uupunut;
caveat;3,5;S;varoitus;varoitus;
reluctant;3,5;L;vastahakoinen;vastahakoinen;
years;3,5;S;vuotta;vuotta;
usually;3,5;S;yleensä;yleensä;
annoyance;3,5;S;ärsyttävyys;ärsyttävä;
vacation;3;S;loma;loma;
postponed;3;S;lykättiin;lykätä;
accommodate;3;S;majoittaa;majoittaa;
accomodate;3;S;majoittaa;majoittaa;
fairly;3;S;melko;melko;
later;3;S;myöhemmin;myöh;
fair;3;S;oikeudenmukainen;oikeudenmukainen;
relaxed;3;W;rento;rento;
relaxing;3;S;rentouttava;rentouttava;
relax;3;W;rentoutua;rentoutua;
casual;2,5;S;rento;rento;
someday;2;S;jonain päivänä;joskus;
sick;2;S;sairas;sairas;
tired;2;E;väsynyt;väsynyt;
